id_venta,fecha,cliente,ciudad,producto,categoria,cantidad,precio_unitario,descuento,metodo_pago,edad_cliente,vendedor
V0033,2026/01/16,Daniel Moreno,dosquebradas,Tablet,Tecnología,2,1100000,15%,Daviplata,66,Felipe
V0241,28/01/26,Camila Torres,Cartago,Celular,Tecnología,4,1800000,0,Tarjeta,46,Felipe
V0244,2026/07/02,Gabriela Muñoz,BOGOTA,Escritorio,Oficina,3,580000,0.1,Daviplata,29,Felipe
V1042,24/06/2026,Natalia Jiménez,cali,Cuaderno,PAPELERÍA,3,12000,5%,Daviplata,39,Felipe
V0760,2026/04/01,Luisa Fernández,Dosquebradas,Tablet,Tecnologia,2,1100000,15%,Nequi,60,Luisa
V0941,21-04-2026,Natalia Jiménez,Cali,Mochila,Accesorios,2,$140.00,0.15,Efectivo,25,Andrés
V0169,16-01-2026,Camila Torres,MANIZALES,Maletín,Accesorios,3,190000,5%,Nequi,33,Luisa
V0835,27/05/26,Juan López,DOSQUEBRADAS,Maletín,accesorios,5,190000,5%,Daviplata,37,Andrés
V0199,28/03/26,Gabriela Muñoz,Armenia,Mouse,Tecnología,3,45000,0.1,Efectivo,49,
V0368,18/01/26,Laura Gómez,Pereira,Laptop,tecnologia,1,2500000,15%,Daviplata,36,Diana
V1003,15/04/26,Pedro Ruiz,armenia,Mochila,Accesorios,5,$140.00,20%,Daviplata,70,María
V1048,03/02/2026,Sofía Ramírez,dosquebradas,Mochila,Accesorios,4,140000,0%,Transferencia,67,Felipe
V0707,2026-04-07,Luisa Fernández,Cali,Escritorio,Oficina,2,580000,5%,Tarjeta,,Luisa
V1211,18/06/2026,Juliana Morales,Manizales,Mochila,accesorios,6,140000,20%,Efectivo,26,Carlos
V0860,06/04/26,Laura Gómez,Medellín,Teclado,TECNOLOGÍA,1,120000,5%,Tarjeta,150,Felipe
V0708,06/06/2026,Daniel Moreno,CALI,Silla ergonómica,Oficina,2,720000,5%,Nequi,33,Diana
V0375,28/01/26,Santiago Hernández,cartago,Tablet,Tecnología,6,1100000,10%,Daviplata,20,Diana
V0562,07/03/2026,Felipe Arias,Pereira,Silla ergonómica,OFICINA,1,720000,0%,Daviplata,45,Luisa
V0550,2026/05/17,,DOSQUEBRADAS,Teclado,Tecnología,6,120000,0.15,Nequi,67,María
V0778,2026/01/02,Manuela Cárdenas,medellin,Impresora,Tecnología,3,650000,20%,Efectivo,37,María
V0059,18/01/2026,Gabriela Muñoz,Manizales,Escritorio,Oficina,2,580000,10%,Transferencia,58,Carlos
V1241,26/06/26,Juliana Morales,Bogotá,Audífonos,Tecnologia,1,180000,0,Daviplata,25,Luisa
V1136,2026/06/24,Mateo Díaz,Pereira,Celular,Tecnología,3,1800000,0.1,Tarjeta,0,Carlos
V0680,20/07/2026,Sebastián Rojas,DOSQUEBRADAS,Bolígrafo,papeleria,2,3500,20%,Transferencia,48,Luisa
V0591,10-03-2026,Laura Gómez,Cartago,Celular,Tecnologia,2,1800000,20%,Efectivo,64,María
V0514,22/05/26,Ana Pérez,Armenia,Bolígrafo,papeleria,4,3500,15%,Transferencia,62,Diana
V0576,2026/05/05,Pedro Ruiz,CARTAGO,Mouse,Tecnologia,1,45000,5%,Efectivo,41,María
V0050,2026-04-21,Nicolás Quintero,MANIZALES,Maletín,Accesorios,6,$190.00,10%,Efectivo,61,Luisa
V0329,2026/06/07,Natalia Jiménez,Pereira,Mochila,Accesorios,4,140000,0.1,Nequi,56,Luisa
V0963,2026/07/09,Pedro Ruiz,BOGOTA,Audífonos,TECNOLOGÍA,3,-50000,0.15,Transferencia,51,Carlos
V0193,2026/02/14,,DOSQUEBRADAS,Tablet,Tecnologia,3,1100000,5%,Tarjeta,57,Carlos
V0087,25/01/2026,Carlos Vargas,MANIZALES,Celular,Tecnologia,5,1800000,0.15,Efectivo,27,Felipe
V0555,18/03/26,Alejandro Ortiz,manizales,Tablet,tecnologia,6,1100000,,Daviplata,40,Luisa
V0744,18-07-2026,Paula Sánchez,Cali,Silla ergonómica,Oficina,3,720000,0%,Efectivo,62,Andrés
V1183,17/07/26,Carlos Vargas,medellin,Cuaderno,Papelería,4,12000,5%,Tarjeta,59,Andrés
V0842,09/05/2026,Carlos Vargas,Cartago,Maletín,,2,$190.00,5%,Nequi,27,Luisa
V0814,28-01-2026,Gabriela Muñoz,PEREIRA,Escritorio,Oficina,5,580000,0%,Nequi,61,Felipe
V0978,2026-06-26,Pedro Ruiz,CARTAGO,Laptop,tecnologia,1,2500000,0%,Efectivo,47,Diana
V1235,08/02/2026,Manuela Cárdenas,Dosquebradas,Laptop,Tecnología,5,2500000,10%,Transferencia,33,Diana
V1142,2026/05/01,Diego Restrepo,bogotá,Audífonos,Tecnología,1,180000,15%,Tarjeta,27,Andrés
V0423,2026/01/12,Sebastián Rojas,Armenia,Escritorio,,2,580000,0.1,Efectivo,39,María
V0514,22/05/26,Ana Pérez,Armenia,Bolígrafo,papeleria,4,3500,15%,Transferencia,62,Diana
V0454,25/07/26,Laura Gómez,Pereira,Maletín,Accesorios,4,190000,0.1,,51,Luisa
V0124,2026-07-16,Natalia Jiménez,Cartago,Laptop,TECNOLOGÍA,1,2500000,20%,Tarjeta,29,Carlos
V0936,20-02-2026,Camila Torres,DOSQUEBRADAS,Bolígrafo,PAPELERÍA,1,3500,20%,Efectivo,26,Carlos
V0899,10-01-2026,Alejandro Ortiz,Armenia,Tablet,Tecnología,4,1100000,0%,Nequi,63,Carlos
V1196,23/07/26,Sofía Ramírez,Medellín,Cuaderno,Papelería,4,12000,10%,Efectivo,53,Luisa
V0706,12/03/26,Sofía Ramírez,Cali,Celular,Tecnología,4,$1.800.000,20%,Efectivo,20,María
V0309,18-06-2026,Gabriela Muñoz,Dosquebradas,Silla ergonómica,oficina,2,720000,20%,Efectivo,24,Felipe
V0197,2026-06-29,Laura Gómez,pereira,Agenda,papeleria,3,25000,0.2,Tarjeta,49,Felipe
V0334,2026-04-18,Paula Sánchez,cartago,Laptop,Tecnología,-1,2500000,10%,Tarjeta,26,Felipe
V0421,22-03-2026,Sebastián Rojas,MEDELLÍN,Impresora,Tecnologia,4,$650.00,15%,Nequi,67,Carlos
V1036,26/04/2026,Santiago Hernández,dosquebradas,Celular,Tecnologia,6,1800000,20%,Nequi,59,María
V0255,2026/07/04,Felipe Arias,BOGOTA,Cuaderno,Papelería,5,12000,0%,Nequi,50,Luisa
V0524,2026-06-18,Diego Restrepo,Dosquebradas,Silla ergonómica,Oficina,2,720000,15%,Tarjeta,19,Diana
V0911,13-07-2026,,BOGOTA,Tablet,TECNOLOGÍA,6,1100000,20%,Transferencia,54,Andrés
V0606,2026/06/27,Pedro Ruiz,Bogotá,Mochila,ACCESORIOS,4,140000,15%,Daviplata,69,Andrés
V0290,22/03/26,Luisa Fernández,cartago,Monitor,tecnologia,3,850000,0.1,Efectivo,67,Carlos
V0297,13/06/2026,Pedro Ruiz,manizales,Mouse,tecnologia,4,45000,20%,Nequi,27,Diana
V0988,12/06/2026,Nicolás Quintero,manizales,Agenda,Papelería,1,25000,20%,Tarjeta,23,Carlos
V0742,18/04/26,Valentina Rodríguez,medellin,Mouse,TECNOLOGÍA,4,45000,10%,Tarjeta,37,Carlos
V0713,2026/01/13,Sofía Ramírez,Dosquebradas,Cuaderno,papeleria,5,12000,5%,Tarjeta,63,Carlos
V1224,03/02/26,Paula Sánchez,bogotá,Bolígrafo,Papelería,3,$3.50,0,Transferencia,64,Andrés
V0030,2026-06-26,Paula Sánchez,Medellín,Cuaderno,PAPELERÍA,1,12000,0%,Nequi,,Felipe
V0635,12-02-2026,Valentina Rodríguez,armenia,Audífonos,Tecnología,2,180000,15%,Nequi,38,María
V0356,05-04-2026,Manuela Cárdenas,ARMENIA,Laptop,Tecnologia,5,0,0,Nequi,19,Luisa
V0032,02/07/2026,Laura Gómez,dosquebradas,Mouse,TECNOLOGÍA,3,45000,5%,Daviplata,32,Luisa
V0807,2026/06/08,Natalia Jiménez,dosquebradas,Cuaderno,Papelería,2,12000,5%,Transferencia,21,María
V0673,07/04/26,Valentina Rodríguez,Bogota,Impresora,Tecnología,2,650000,20%,Tarjeta,32,María
V0852,24-01-2026,Mateo Díaz,ARMENIA,Mochila,accesorios,3,140000,0.1,Transferencia,,Andrés
V0071,10/07/26,Daniel Moreno,CARTAGO,Mouse,Tecnología,1,45000,15%,Tarjeta,32,Luisa
V1132,16/02/2026,Sebastián Rojas,armenia,Tablet,Tecnología,0,1100000,15%,Daviplata,56,Felipe
V0479,26-04-2026,Camila Torres,Armenia,Escritorio,Oficina,3,580000,0.15,Nequi,50,María
V1089,2026/07/30,Luisa Fernández,Cali,Mochila,ACCESORIOS,1,140000,20%,Nequi,66,Carlos
V0599,24/03/2026,Manuela Cárdenas,Cali,Mouse,Tecnologia,2,45000,5%,Daviplata,44,Luisa
V0723,13-05-2026,Ana Pérez,armenia,Celular,tecnologia,5,1800000,10%,Efectivo,26,Luisa
V0582,11/05/2026,Juan López,Pereira,Laptop,TECNOLOGÍA,4,2500000,0%,Efectivo,44,Andrés
V0924,03/06/26,Gabriela Muñoz,PEREIRA,Silla ergonómica,Oficina,5,720000,0.05,Daviplata,23,Andrés
V0528,04/01/2026,Sebastián Rojas,MANIZALES,Teclado,Tecnologia,4,99999999,0.1,Tarjeta,59,Diana
V1147,2026-01-27,Camila Torres,armenia,Escritorio,Oficina,2,580000,0%,Nequi,42,Carlos
V0114,04-02-2026,Luisa Fernández,CARTAGO,Tablet,TECNOLOGÍA,3,1100000,10%,Daviplata,30,Diana
V0999,13/03/2026,Diego Restrepo,MEDELLÍN,Bolígrafo,PAPELERÍA,3,3500,0.2,Efectivo,67,Luisa
V0436,07-03-2026,Juan López,Manizales,Maletín,Accesorios,3,190000,0,Nequi,,Diana
V1240,21-03-2026,Camila Torres,Medellín,Agenda,papeleria,6,25000,0%,Efectivo,25,Carlos
V0498,25-07-2026,Pedro Ruiz,Dosquebradas,Maletín,Accesorios,4,190000,0%,Nequi,53,Luisa
V0108,2026/02/11,Camila Torres,MANIZALES,Teclado,Tecnología,3,120000,0.05,Tarjeta,34,Felipe
V0989,2026-01-07,Gabriela Muñoz,Cali,Bolígrafo,Papelería,6,3500,0%,,65,Felipe
V1019,15/04/2026,Valentina Rodríguez,ARMENIA,Celular,TECNOLOGÍA,6,1800000,0,Tarjeta,24,Andrés
V0668,2026-07-24,,Cartago,Agenda,PAPELERÍA,1,25000,15%,Efectivo,54,Luisa
V1175,28/06/26,Nicolás Quintero,Bogota,Silla ergonómica,Oficina,3,720000,10%,Efectivo,20,Diana
V1149,2026-03-22,Laura Gómez,Armenia,Impresora,TECNOLOGÍA,5,$650.00,10%,Efectivo,44,Diana
V0747,2026-03-21,Carlos Vargas,Bogotá,Audífonos,Tecnología,4,180000,15%,Efectivo,61,Andrés
V0452,2026/07/26,Juliana Morales,Dosquebradas,Agenda,Papelería,3,25000,20%,Transferencia,49,Felipe
V0935,05-05-2026,Sofía Ramírez,CARTAGO,Bolígrafo,PAPELERÍA,4,3500,20%,Efectivo,22,María
V0430,2026/07/30,Paula Sánchez,CARTAGO,Audífonos,Tecnologia,3,180000,5%,Nequi,30,Diana
V0262,20-05-2026,Luisa Fernández,Bogotá,Audífonos,TECNOLOGÍA,5,180000,0.15,Daviplata,55,Carlos
V0817,2026-05-08,Manuela Cárdenas,dosquebradas,Mochila,,1,140000,,Efectivo,38,Luisa
V0554,30/06/2026,Alejandro Ortiz,Cali,Mochila,accesorios,5,140000,0.15,Nequi,21,Diana
V1134,2026-01-31,Pedro Ruiz,,Celular,Tecnología,4,1800000,15%,Daviplata,,Diana
V0175,28/07/2026,Sebastián Rojas,Cartago,Bolígrafo,Papelería,2,3500,5%,Tarjeta,40,María
V0863,29/06/26,Sebastián Rojas,Manizales,Monitor,Tecnologia,1,850000,0%,Transferencia,43,Andrés
V0520,2026/03/26,Natalia Jiménez,Medellín,Silla ergonómica,oficina,5,720000,15%,Efectivo,47,Felipe
V0298,2026/03/01,Laura Gómez,Medellín,Laptop,TECNOLOGÍA,1,99999999,0.05,Nequi,41,Carlos
V0378,2026/02/13,Alejandro Ortiz,dosquebradas,Escritorio,Oficina,5,580000,0,tarjeta,32,Felipe
V0740,29/06/2026,Carlos Vargas,Manizales,Celular,Tecnologia,1,$1.800.000,10%,Daviplata,39,María
V0424,2026-03-21,Paula Sánchez,DOSQUEBRADAS,Cuaderno,Papelería,5,$12.00,0%,Transferencia,39,Carlos
V0055,22-05-2026,Sofía Ramírez,Manizales,Impresora,TECNOLOGÍA,2,650000,15%,Transferencia,22,Felipe
V0278,21/06/26,Juliana Morales,armenia,Celular,TECNOLOGÍA,4,1800000,15%,Efectivo,23,Felipe
V0893,10/05/2026,Gabriela Muñoz,Dosquebradas,Celular,Tecnologia,6,1800000,5%,Tarjeta,69,Felipe
V0057,10/07/26,Sofía Ramírez,Bogotá,Celular,Tecnología,4,1800000,0.15,Daviplata,49,Luisa
V0579,09-05-2026,Laura Gómez,Dosquebradas,Celular,Tecnología,1,1800000,5%,Efectivo,18,Diana
V0110,2026/06/13,Paula Sánchez,Bogotá,Escritorio,oficina,1,580000,15%,Nequi,33,Luisa
V0211,2026-05-31,Daniel Moreno,armenia,Escritorio,OFICINA,5,580000,15%,Nequi,24,Diana
V0905,2026-02-20,Santiago Hernández,cali,Cuaderno,PAPELERÍA,4,12000,0.2,Efectivo,29,Diana
V0313,30-05-2026,Andrés Martínez,CARTAGO,Maletín,Accesorios,2,190000,5%,Daviplata,31,Diana
V0210,22/04/26,Sofía Ramírez,MANIZALES,Cuaderno,Papelería,2,12000,0.05,Tarjeta,22,Diana
V1081,2026-07-30,Juan López,manizales,Tablet,Tecnologia,2,$1.100.000,0%,Nequi,26,Carlos
V1203,17/07/2026,Santiago Hernández,bogotá,Cuaderno,Papelería,4,$12.00,10%,Efectivo,64,Carlos
V0219,2026/06/02,Valentina Rodríguez,medellin,Cuaderno,,5,12000,0.1,Daviplata,58,Luisa
V0943,2026-05-01,Juan López,MEDELLÍN,Laptop,TECNOLOGÍA,2,2500000,0%,Tarjeta,70,Carlos
V0362,2026/06/02,Alejandro Ortiz,PEREIRA,Agenda,Papelería,6,25000,10%,Tarjeta,28,María
V0763,03-06-2026,Gabriela Muñoz,CALI,Agenda,papeleria,6,25000,15%,Transferencia,41,Carlos
V0494,2026/06/24,Pedro Ruiz,cartago,Audífonos,TECNOLOGÍA,5,-50000,15%,Daviplata,38,Carlos
V0304,2026-02-18,Luisa Fernández,Medellín,Impresora,TECNOLOGÍA,5,650000,0.05,Transferencia,56,Felipe
V0495,2026-07-04,Alejandro Ortiz,Cali,Maletín,Accesorios,2,190000,0%,Efectivo,30,María
V0428,22/03/26,Andrés Martínez,Cartago,Silla ergonómica,Oficina,2,720000,0.15,Transferencia,29,Diana
V1186,2026/04/13,Camila Torres,CARTAGO,Tablet,Tecnología,6,1100000,10%,Tarjeta,21,Andrés
V0529,22/07/2026,Sofía Ramírez,MEDELLÍN,Silla ergonómica,Oficina,5,720000,5%,Tarjeta,42,Andrés
V0535,2026-04-19,Daniel Moreno,medellin,Impresora,TECNOLOGÍA,5,650000,0.2,Nequi,19,
V0887,19/04/2026,Pedro Ruiz,Pereira,Monitor,tecnologia,6,850000,0.1,Tarjeta,25,Carlos
V0755,2026/01/12,Mariana Castro,CARTAGO,Cuaderno,PAPELERÍA,5,12000,15%,Tarjeta,19,María
V0890,21-06-2026,Santiago Hernández,PEREIRA,Laptop,TECNOLOGÍA,3,2500000,5%,Tarjeta,54,Felipe
V0919,2026/03/11,Pedro Ruiz,pereira,Escritorio,OFICINA,4,580000,0%,Nequi,28,Felipe
V0969,01/06/2026,Santiago Hernández,Pereira,Tablet,Tecnologia,2,1100000,10%,Efectivo,60,María
V0829,24/06/26,Juliana Morales,Armenia,Laptop,tecnologia,3,2500000,0%,Efectivo,42,Diana
V0171,2026/02/25,Nicolás Quintero,Pereira,Tablet,Tecnología,4,1100000,5%,Nequi,26,Carlos
V0299,01-05-2026,Santiago Hernández,pereira,Silla ergonómica,Oficina,2,720000,5%,Tarjeta,67,Felipe
V1220,28-03-2026,Camila Torres,,Bolígrafo,papeleria,6,3500,5%,Tarjeta,-5,María
V0395,2026-02-22,Daniel Moreno,Cali,Mochila,Accesorios,5,140000,0%,Efectivo,40,Felipe
V0652,02/05/26,Ana Pérez,Cartago,Cuaderno,Papelería,4,-50000,0.1,Tarjeta,18,Carlos
V0584,06/04/2026,Valentina Rodríguez,Cartago,Escritorio,Oficina,2,580000,10%,Daviplata,65,Felipe
V0383,02-05-2026,Juan López,Bogotá,Mochila,accesorios,4,140000,5%,Efectivo,31,Carlos
V0333,2026/01/22,,medellin,Celular,tecnologia,5,1800000,15%,Efectivo,53,Diana
V0462,01-05-2026,Camila Torres,manizales,Monitor,Tecnologia,3,850000,15%,Nequi,56,Diana
V0478,2026/07/20,Laura Gómez,Pereira,Teclado,Tecnologia,-3,120000,15%,Daviplata,70,Andrés
V0523,27/06/2026,Sofía Ramírez,,Cuaderno,Papelería,6,12000,15%,Tarjeta,18,Carlos
V0234,01/06/2026,Mateo Díaz,Cartago,Maletín,Accesorios,4,190000,20%,Nequi,19,Carlos
V0873,06-07-2026,Santiago Hernández,Cali,Maletín,ACCESORIOS,3,190000,0%,Transferencia,27,Felipe
V0200,07/07/26,Juan López,MEDELLÍN,Audífonos,Tecnología,6,180000,0.1,Efectivo,43,Diana
V1170,03/06/2026,Juliana Morales,,Teclado,Tecnología,1,120000,15%,Transferencia,37,María
V0248,05-07-2026,Mariana Castro,Manizales,Bolígrafo,papeleria,2,3500,0.1,Daviplata,65,Andrés
V1088,fecha desconocida,Laura Gómez,Cartago,Bolígrafo,PAPELERÍA,2,3500,10%,Daviplata,67,Carlos
V0595,20-05-2026,Camila Torres,pereira,Laptop,Tecnología,6,2500000,10%,Efectivo,36,Luisa
V0011,2026-02-27,Sofía Ramírez,Bogota,Monitor,tecnologia,1,0,10%,Transferencia,58,Diana
V0148,2026/04/10,Juan López,Bogotá,Mochila,accesorios,6,140000,0.2,Tarjeta,64,Andrés
V0539,07-02-2026,Natalia Jiménez,Bogota,Cuaderno,papeleria,3,12000,5%,Nequi,67,María
V1034,27/04/26,Ana Pérez,medellin,Tablet,Tecnología,5,1100000,0%,Transferencia,57,Carlos
V0819,2026/06/28,Natalia Jiménez,Medellín,Escritorio,Oficina,1,580000,5%,Transferencia,34,Felipe
V0345,18/02/2026,Valentina Rodríguez,Pereira,Teclado,Tecnologia,3,120000,15%,Daviplata,24,Carlos
V0507,2026/06/12,Camila Torres,Cartago,Tablet,Tecnología,2,1100000,0%,Nequi,27,Diana
V0164,2026-06-27,Mateo Díaz,medellin,Silla ergonómica,Oficina,6,720000,5%,Daviplata,46,Felipe
V0781,26/04/2026,Paula Sánchez,Manizales,Celular,tecnologia,3,1800000,0.15,Efectivo,21,Diana
V0534,04-07-2026,Laura Gómez,armenia,Teclado,Tecnologia,2,120000,5%,Efectivo,58,Luisa
V0681,07/06/26,Juliana Morales,Pereira,Mouse,tecnologia,3,45000,10%,Tarjeta,200,Carlos
V0732,15/06/2026,Laura Gómez,Dosquebradas,Mochila,Accesorios,5,$140.00,0,Nequi,27,Diana
V1171,09-07-2026,Mateo Díaz,Pereira,Mochila,Accesorios,5,140000,10%,Transferencia,69,Luisa
V0448,2026-01-24,Luisa Fernández,Medellín,Celular,Tecnología,2,1800000,10%,Efectivo,60,Luisa
V0406,2026-04-22,Camila Torres,armenia,Escritorio,oficina,3,580000,15%,Transferencia,19,María
V0245,2026-07-01,Valentina Rodríguez,Manizales,Cuaderno,PAPELERÍA,4,12000,20%,Transferencia,19,María
V0429,2026/07/27,Sebastián Rojas,dosquebradas,Silla ergonómica,Oficina,5,720000,15%,Efectivo,47,Luisa
V0815,2026/05/14,Pedro Ruiz,manizales,Mochila,Accesorios,1,140000,15%,Nequi,19,Andrés
V0136,17/07/26,Alejandro Ortiz,Medellín,Escritorio,Oficina,6,580000,10%,Tarjeta,44,Andrés
V0328,02/05/2026,Alejandro Ortiz,cali,Impresora,Tecnología,2,$650.00,0.05,Efectivo,18,Luisa
